[2020-03-30 14:07:25,950] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-03-30 14:07:26,219] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-03-30 14:07:28,359] INFO Shutting down the log cleaner. (kafka.log.LogCleaner)
[2020-03-30 14:07:28,386] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner)
[2020-03-30 14:07:28,393] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner)
[2020-03-30 14:07:28,399] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner)
[2020-03-30 14:11:21,672] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-03-30 14:11:21,737] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-03-30 14:11:21,745] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-03-30 14:11:21,836] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-03-30 14:11:21,966] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-03-30 14:11:21,993] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-03-30 14:11:22,016] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-03-30 14:11:22,058] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-03-30 14:11:24,502] INFO Shutting down the log cleaner. (kafka.log.LogCleaner)
[2020-03-30 14:11:24,505] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner)
[2020-03-30 14:11:24,517] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner)
[2020-03-30 14:11:24,518] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner)
[2020-03-30 14:11:24,620] INFO Shutting down the log cleaner. (kafka.log.LogCleaner)
[2020-03-30 14:11:24,634] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner)
[2020-03-30 14:11:24,637] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner)
[2020-03-30 14:11:24,644] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner)
[2020-03-30 14:26:57,302] INFO Shutting down the log cleaner. (kafka.log.LogCleaner)
[2020-03-30 14:26:57,305] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner)
[2020-03-30 14:26:57,306] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner)
[2020-03-30 14:26:57,306] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner)
[2020-03-30 14:26:57,312] INFO Shutting down the log cleaner. (kafka.log.LogCleaner)
[2020-03-30 14:26:57,313] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner)
[2020-03-30 14:26:57,314] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner)
